Artist Name,Song Name,Days,Top 10 (xTimes),Peak Position,Peak Position (xTimes),Peak Streams,Total Streams,Release Date,Genre,Broad Genre
$uicideboy$ ,I Wanna Be Romanticized,1,0,191,0,285741,285741,2020/2/14,cloud rap,Hip Hop
The Weeknd ,The Morning,2,0,179,0,148050,285728,2012/11/13,canadian contemporary r&b,R&B
Ed Sheeran ,Stop The Rain,1,0,105,0,285712,285712,2021/10/29,pop,Pop
Kacey Musgraves ,there is a light,1,0,149,0,285632,285632,1986/6/16,classic texas country,Country
Trippie Redd ,I Got You (ft. Busta Rhymes),1,0,114,0,285405,285405,2024/3/22,melodic rap,Hip Hop
Sia ,Floating Through Space,1,0,106,0,285205,285205,2021/2/4,australian dance,Electronic
Demi Lovato ,Ruin The Friendship,1,0,105,0,285168,285168,2017/9/29,pop,Pop
Bring Me The Horizon ,DiE4u,1,0,130,0,285054,285054,2021/9/16,melodic metalcore,Metal
Logic ,Inside,1,0,117,0,285008,285008,1998/2/24,conscious hip hop,Hip Hop
6LACK ,Float,1,0,113,0,284863,284863,2004/4/5,atl hip hop,Hip Hop
Sam Hunt ,Young Once,1,0,123,0,284828,284828,2020/4/3,contemporary country,Country
The 1975 ,Jesus Christ 2005 God Bless America,1,0,124,0,284804,284804,2020/5/22,modern alternative rock,Rock
Galantis ,In My Head,3,0,122,0,103533,284786,2010/2/24,dance pop,Pop
BROCKHAMPTON ,DEARLY DEPARTED,1,0,139,0,284690,284690,2014/7/10,boy band,Pop
